ad_type_name,area,price,address,property_legal_document,rooms,toilets
Căn hộ/Chung cư,121,13500000,Hà Nội,sổ hồng riêng,2.0,2.0
Nhà ở,77,7300000000,Hà Nội,đã có sổ,5.0,4.0
Căn hộ/Chung cư,123,3000000000,Hà Nội,sổ hồng riêng,1.0,1.0
Căn hộ/Chung cư,77,6000000000,Hà Nội,đang chờ sổ,2.0,2.0
Nhà ở,86,12000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,80,6800000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,80,13700000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,75,15000000000,Hà Nội,đã có sổ,4.0,5.0
Nhà ở,77,4700000000,Hà Nội,đã có sổ,2.0,2.0
Nhà ở,121,20500000000,Hà Nội,đã có sổ,8.0,5.0
Nhà ở,76,3760000000,Hà Nội,đã có sổ,2.0,3.0
Căn hộ/Chung cư,81,7700000000,Hà Nội,sổ hồng riêng,3.0,2.0
Căn hộ/Chung cư,77,9000000,Hà Nội,không có sổ,2.0,1.0
Nhà ở,80,3000000000,Đường Lĩnh Nam,chưa rõ,2.0,1.0
Nhà ở,77,11900000000,Hà Nội,đã có sổ,10.0,7.0
Căn hộ/Chung cư,76,5050000000,Hà Nội,sổ hồng riêng,3.0,2.0
Nhà ở,73,3100000000,Hà Nội,đang chờ sổ,2.0,2.0
Nhà ở,79,21500000000,Hà Nội,đã có sổ,10.0,7.0
Nhà ở,77,11900000000,Hà Nội,đã có sổ,11.0,7.0
Nhà ở,77,6660000000,Hà Nội,đã có sổ,3.0,3.0
Nhà ở,76,3920000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,123,25000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,86,48000000000,Hà Nội,đã có sổ,6.0,6.0
Căn hộ/Chung cư,80,4600000000,Hà Nội,sổ hồng riêng,2.0,2.0
Nhà ở,76,15000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,75,12500000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,121,13500000000,Hà Nội,đã có sổ,11.0,7.0
Nhà ở,78,2800000000,Hà Nội,không có sổ,2.0,2.0
Căn hộ/Chung cư,121,2950000888,Hà Nội,sổ hồng riêng,1.0,1.0
